_id,prediction_id,ticker,strategy,signal,status,open_date,close_date,closing_reason,net_pnl,net_return_pct,batch_id
68f232fb5ddc30f0e1455ddc,68f2320b59f85776fdc0f7ab,JIOFIN.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-19T00:00:00.000Z,2025-02-21T00:00:00.000Z,Trailing Stop Hit,-1112.11,-7.29,AzureAI-Run5
68f235be5ddc30f0e1455ddd,68f22e2b59f85776fdc0f775,ITC.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-11T00:00:00.000Z,2025-02-27T00:00:00.000Z,Time Exit,1598.88,6.01,AzureAI-Run5
68f235bf5ddc30f0e1455dde,68f22ebb59f85776fdc0f77c,TCS.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-12T00:00:00.000Z,2025-02-27T00:00:00.000Z,Target Hit,3464.69,8.72,AzureAI-Run5
68f235bf5ddc30f0e1455ddf,68f22ebe59f85776fdc0f781,INDUSINDBK.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-12T00:00:00.000Z,2025-02-27T00:00:00.000Z,Time Exit,244.03,0.96,AzureAI-Run5
68f236545ddc30f0e1455de0,68f22f5159f85776fdc0f78a,ASIANPAINT.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-13T00:00:00.000Z,2025-02-28T00:00:00.000Z,Time Exit,410.06,1.84,AzureAI-Run5
68f236545ddc30f0e1455de1,68f2329e59f85776fdc0f7ae,INFY.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-20T00:00:00.000Z,2025-02-28T00:00:00.000Z,Trailing Stop Hit,958.93,2.8,AzureAI-Run5
68f236555ddc30f0e1455de2,68f234c959f85776fdc0f7c9,TECHM.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-25T00:00:00.000Z,2025-02-28T00:00:00.000Z,Trailing Stop Hit,899.21,3.11,AzureAI-Run5
68f239115ddc30f0e1455de3,68f2320b59f85776fdc0f7ac,SBIN.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-19T00:00:00.000Z,2025-03-06T00:00:00.000Z,Time Exit,-523.82,-1.73,AzureAI-Run5
68f239125ddc30f0e1455de4,68f2333159f85776fdc0f7b7,HINDALCO.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-21T00:00:00.000Z,2025-03-06T00:00:00.000Z,Trailing Stop Hit,-1086.54,-5.15,AzureAI-Run5
68f23aa95ddc30f0e1455de5,68f2333359f85776fdc0f7bb,HDFCLIFE.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-21T00:00:00.000Z,2025-03-10T00:00:00.000Z,Time Exit,-337.07,-1.65,AzureAI-Run5
68f23b445ddc30f0e1455de6,68f2381e59f85776fdc0f7ea,ICICIBANK.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-03-04T00:00:00.000Z,2025-03-11T00:00:00.000Z,Trailing Stop Hit,-1649.25,-3.33,AzureAI-Run5
